"_type","director","summary","title"
"MovieItem","Bryan Singer","A chronicle of the years leading up to","Bohemian Rhapsody"
"MovieItem","Luca Guadagnino","A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.","Suspiria"
"MovieItem","Vijay Krishna Acharya","A thug sent by Lord Clive to spy an Indian Revolutionary pirate gang unexpectedly joins them which leads to an epic saga of revolt and war for freedom between 1790 and 1805.","Thugs of Hindostan"
"MovieItem","Lasse Hallström","A young girl is transported into a magical world of gingerbread soldiers and an army of mice.","The Nutcracker and the Four Realms"
"MovieItem","Fede Alvarez","Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.","The Girl in the Spider's Web: A New Dragon Tattoo Story"
"MovieItem","David Gordon Green","Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.","Halloween"
"MovieItem","Yarrow Cheney","A grumpy Grinch plots to ruin Christmas for the village of Whoville.","Dr. Seuss' The Grinch"
"MovieItem","David Yates","The second installment of the ""Fantastic Beasts"" series set in J.K. Rowling's Wizarding World featuring the adventures of magizoologist Newt Scamander.","Fantastic Beasts: The Crimes of Grindelwald"
"MovieItem","David Mackenzie","A true David v Goliath story of how the great 14th Century Scottish 'Outlaw King' Robert The Bruce used cunning and bravery to defeat and repel the much larger and better equipped occupying English army.","Outlaw King"
"MovieItem","Bradley Cooper","A musician helps a young singer find fame, even as age and alcoholism send his own career into a downward spiral.","A Star Is Born"
"MovieItem","Julius Avery","A little squad of American soldiers find horror behind enemy lines on the eve of D-Day.","Overlord"
"MovieItem","Peter Berg","An elite American intelligence officer, aided by a top-secret tactical command unit, tries to smuggle a mysterious police officer with sensitive information out of the country.","Mile 22"
"MovieItem","Spike Lee","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.","BlacKkKlansman"
"MovieItem","Jon M. Chu","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.","Crazy Rich Asians"
"MovieItem","Michael Noer","Wrongfully convicted for murder, Henri Charriere forms an unlikely relationship with fellow inmate and quirky convicted counterfeiter Louis Dega, in an attempt to escape from the notorious penal colony on Devil's Island.","Papillon"
"MovieItem","Jon Turteltaub","After escaping an attack by what he claims was a 70-foot shark, Jonas Taylor must confront his fears to save those trapped in a sunken submersible.","The Meg"
"MovieItem","David Ayer","A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.","Suicide Squad"
"MovieItem","Bob Persichetti","Spider-Man crosses parallel dimensions and teams up with the Spider-Men of those dimensions to stop a threat to all reality.","Spider-Man: Into the Spider-Verse"
"MovieItem","Ron Howard","On the outskirts of Whoville, there lives a green, revenge-seeking Grinch who plans on ruining the Christmas holiday for all of the citizens of the town.","How the Grinch Stole Christmas"
"MovieItem","Taika Waititi","Thor is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","Thor: Ragnarok"
"MovieItem","Andrew Bowler","Physics prodigy Stillman (Butterfield) is destined for great things, only to be derailed when his girlfriend, Debbie (Turner) suddenly dumps him. But Stillman isn't beaten, he does what any...","Time Freak"
"MovieItem","Guy Ritchie","A live-action retelling of the 1992 Disney film of the same name.","Aladdin"
"MovieItem","Clay Kaytis","The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.","The Christmas Chronicles"
"MovieItem","A.R. Murugadoss","A successful businessman gets involved in a political battle with 2 notorious ministers regarding the well being of fishermen in Tamil Nadu.","Sarkar"
"MovieItem","David Lowery","Based on the true story of Forrest Tucker and his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public.","The Old Man & the Gun"
"MovieItem","Jesse Peretz","Juliet, Naked is the story of Annie (the long-suffering girlfriend of Duncan) and her unlikely transatlantic romance with once revered, now faded, singer-songwriter, Tucker Crowe, who also happens to be the subject of Duncan's musical obsession.","Juliet, Naked"
"MovieItem","Jennifer Yuh Nelson","Imprisoned by an adult world that now fears everyone under 18, a group of teens form a resistance group to fight back and reclaim control of their future.","The Darkest Minds"
"MovieItem","Steven Spielberg","When the creator of a virtual reality world called the OASIS dies, he releases a video in which he challenges all OASIS users to find his Easter Egg, which will give the finder his fortune.","Ready Player One"
"MovieItem","Matthew Heineman","One of the most celebrated war correspondents of our time, Marie Colvin is an utterly fearless and rebellious spirit, driven to the frontline of conflicts across the globe to give voice to the voiceless.","A Private War"
"MovieItem","John Krasinski","In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.","A Quiet Place"
"MovieItem","Sean Anders","A couple find themselves in over their heads when they adopt three children.","Instant Family"
"MovieItem","Genndy Tartakovsky","Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.","Hotel Transylvania 3: Summer Vacation"
"MovieItem","Ari Sandel","Two young friends find a magic book that brings a ventriloquist's dummy to life.","Goosebumps 2: Haunted Halloween"
"MovieItem","Timo Tjahjanto","Ito (Joe Taslim), a gangland enforcer, caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad.","The Night Comes for Us"
"MovieItem","Carlos López Estrada","While on probation, a man begins to re-evaluate his relationship with his volatile best friend.","Blindspotting"
"MovieItem","David Kerr","After a cyber-attack reveals the identity of all of the active undercover agents in Britain, Johnny English is forced to come out of retirement to find the mastermind hacker.","Johnny English Strikes Again"
"MovieItem","Rawson Marshall Thurber","A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family are trapped inside by criminals.","Skyscraper"
